```csv
Text,Apply Exclusions,Limit ESG Risk,Seek ESG Opportunities,Practice Active Ownership,Target Sustainability Themes,Assess Impact
The fund excludes companies in controversial sectors such as tobacco and firearms. It also conducts periodic evaluations and cohesive reporting across all focus areas.,1,0,0,0,0,0
```
Text,Apply Exclusions,Limit ESG Risk,Seek ESG Opportunities,Practice Active Ownership,Target Sustainability Themes,Assess Impact
The fund integrates ESG risk assessments into its investment models to mitigate potential sustainability risks. It also conducts periodic evaluations and cohesive reporting across all focus areas.,0,1,0,0,0,0.9
```
Text,Apply Exclusions,Limit ESG Risk,Seek ESG Opportunities,Practice Active Ownership,Target Sustainability Themes,Assess Impact
The fund invests in firms pioneering sustainable technologies and ESG-focused business models. It also conducts periodic evaluations and cohesive reporting across all focus areas.,0.1,0.4,1,0,1,1
```
Text,Apply Exclusions,Limit ESG Risk,Seek ESG Opportunities,Practice Active Ownership,Target Sustainability Themes,Assess Impact
"The fund actively engages with portfolio companies through shareholder voting, dialogues, and proxy proposals to drive ESG improvements. It also conducts periodic evaluations and cohesive reporting across all focus areas.",0,0,0,1,0,0.4
```
Text,Apply Exclusions,Limit ESG Risk,Seek ESG Opportunities,Practice Active Ownership,Target Sustainability Themes,Assess Impact
"The fund focuses capital on sustainability themes like renewable energy, clean water, and circular economy initiatives. It also conducts periodic evaluations and cohesive reporting across all focus areas.",0,0,0.5,0,1.0,1.0
```
Text,Apply Exclusions,Limit ESG Risk,Seek ESG Opportunities,Practice Active Ownership,Target Sustainability Themes,Assess Impact
The fund measures and reports the social and environmental impact of its investments using recognized frameworks and metrics. It also conducts periodic evaluations and cohesive reporting across all focus areas.,0,0,0,0,0,1
```
Text,Apply Exclusions,Limit ESG Risk,Seek ESG Opportunities,Practice Active Ownership,Target Sustainability Themes,Assess Impact
The fund excludes companies in controversial sectors such as tobacco and firearms; and it integrates ESG risk assessments into its investment models to mitigate potential sustainability risks. It also conducts periodic evaluations and cohesive reporting across all focus areas.,1.0,1.0,0,0,0,0
```
Text,Apply Exclusions,Limit ESG Risk,Seek ESG Opportunities,Practice Active Ownership,Target Sustainability Themes,Assess Impact
The fund excludes companies in controversial sectors such as tobacco and firearms; and it invests in firms pioneering sustainable technologies and ESG-focused business models. It also conducts periodic evaluations and cohesive reporting across all focus areas.,1,0,1,0,1,0
```
Text,Apply Exclusions,Limit ESG Risk,Seek ESG Opportunities,Practice Active Ownership,Target Sustainability Themes,Assess Impact
"The fund excludes companies in controversial sectors such as tobacco and firearms; and it actively engages with portfolio companies through shareholder voting, dialogues, and proxy proposals to drive ESG improvements. It also conducts periodic evaluations and cohesive reporting across all focus areas.",1.0,0.0,0.0,1.0,0.0,0.3
```
Text,Apply Exclusions,Limit ESG Risk,Seek ESG Opportunities,Practice Active Ownership,Target Sustainability Themes,Assess Impact
"The fund excludes companies in controversial sectors such as tobacco and firearms; and it focuses capital on sustainability themes like renewable energy, clean water, and circular economy initiatives. It also conducts periodic evaluations and cohesive reporting across all focus areas.",1,0,0,0,1,0.5
```
Text,Apply Exclusions,Limit ESG Risk,Seek ESG Opportunities,Practice Active Ownership,Target Sustainability Themes,Assess Impact
The fund excludes companies in controversial sectors such as tobacco and firearms; and it measures and reports the social and environmental impact of its investments using recognized frameworks and metrics. It also conducts periodic evaluations and cohesive reporting across all focus areas.,1,0,0,0,0,1
```
